Feature,Case Id,Test Case,Pass,Fail,N/A,Measured,Comment,Measurement Name,Value,Unit,Target,Failure
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getDevice_errorCallback_TypeMismatch,Check whether getDevice() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getDevice_exist,Check if getDevice method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getDevice_missarg,Check getDevice with missing non-optional argument,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getDevice_successCallback_invalid_cb,Check if successful callback of getDevice() method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getDevice_successCallback_TypeMismatch,Check whether getDevice() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getDevice_with_success_TypeMismatch_and_error_null,Check whether getDevice() method called with invalid successCallback and errorCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices,Check with optional arguments getKnownDevices(valid_successCallback),,,1,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3426 XWALK-3426]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_callback_onerror,Check if error callback of getKnownDevices method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_callback_successful,Check if successful callback of getKnownDevices method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_check_types,Check whether all known Bluetooth devices are listed properly (part 2),,,1,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3426 XWALK-3426]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_errorCallback_invalid_cb,Check getKnownDevices() argument errorCallback validation - use {onerror: function (){}},1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_errorCallback_TypeMismatch,Check whether getKnownDevices() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_exist,Check if getKnownDevices method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_missarg,Check getKnownDevices with missing non-optional argument,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_successCallback_invalid_cb,Check getKnownDevices() argument successCallback validation - use {onsuccess: function (){}},1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_successCallback_TypeMismatch,Check whether getKnownDevices() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_success_TypeMismatch_error_null,Check whether getKnownDevices() method called with invalid successCallback and null as errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_getKnownDevices_with_errorCallback,"Check with optional arguments getKnownDevices(valid_successCallback, valid_errorCallback)",,,1,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3426 XWALK-3426]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_name_attribute,Check name attribute in adapter,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_notexist,Check if is possible to call BluetoothAdapter in new expresion,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_powered_attribute,Check powered attribute in adapter,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID,"Check with optional arguments registerRFCOMMServiceByUUID(valid_uuid, valid_name, valid_successCallback)",1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_errorCallback_invalid_cb,Check argument registerRFCOMMServiceByUUID() errorCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_errorCallback_TypeMismatch,Check whether registerRFCOMMServiceByUUID() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_exist,Check if registerRFCOMMServiceByUUID method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_missarg,Check registerRFCOMMServiceByUUID with missing non-optional argument,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_onerror,Check if error callback of registerRFCOMMServiceByUUID method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_successCallback_invalid_cb,Check argument registerRFCOMMServiceByUUID() successCallback validation - use {onsuccess: function (){}},1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_successCallback_TypeMismatch,Check whether registerRFCOMMServiceByUUID() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_with_errorCallback,"Check with optional arguments registerRFCOMMServiceByUUID(valid_uuid, valid_name, valid_successCallback, valid_errorCallback)",,1,,,[[https://crosswalk-project.org/jira/i#browse/XWALK-2088  XWALK-2088]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_registerRFCOMMServiceByUUID_with_success_TypeMismatch_and_error_null,Check whether registerRFCOMMServiceByUUID() method called with invalid successCallback and errorCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setChangeListener,Check with non-optional arguments setChangeListener(valid_listener),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setChangeListener_exist,Check if setChangeListener method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setChangeListener_listener_invalid_cb,Check setChangeListener() with invalid callback,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setChangeListener_listener_TypeMismatch,Check whether setChangeListener() method called with invalid listener argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setChangeListener_missarg,Check setChangeListener with missing non-optional argument,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName,Check with non-optional arguments setName(valid_name),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_callback_error,Check if error callback of setName method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_errorCallback_invalid_cb,Check argument setName() errorCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_errorCallback_TypeMismatch,Check whether setName() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_exist,Check if setName method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_longname,Check if long name is set,,,1,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3435 XWALK-3435]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_successCallback_invalid_cb,Check argument setName() successCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_successCallback_TypeMismatch,Check whether setName() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_with_errorCallback,Check if name attribute of adapter set,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_with_successCallback,"Check with optional arguments setName(valid_name, successCallback)",1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_with_success_null_and_error_TypeMismatch,Check whether setName() method called with invalid errorCallback and successCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setName_with_success_TypeMismatch_and_error_null,Check whether setName() method called with invalid successCallback and errorCallback set to null throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered,Check whether setPowered() method properly sets powered parameter of BluetoothAdapter (part 2),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_errorCallback_invalid_cb,Check argument setPowered() errorCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_errorCallback_TypeMismatch,Check whether setPowered() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_exist,Check if setPowered method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_successCallback_invalid_cb,Check if successful callback of setPowered() method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_successCallback_TypeMismatch,Check whether setPowered() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_with_errorCallback,"Check with optional arguments setPowered(valid_state, valid_successCallback, valid_errorCallback)",1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPowered_with_successCallback,"Check with optional arguments setPowered(valid_state, valid_successCallback)",1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setPower_off,Check if powered attribute of adapter is false,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible,Check with optional arguments setVisible(valid_mode),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_callback_onerror,Check if error callback of BluetoothAdapter method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_errorCallback_invalid_cb,Check if error callback of setVisible() method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_errorCallback_TypeMismatch,Check whether setVisible() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_exist,Check if setVisible method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_successCallback_invalid_cb,Check if successful callback of setVisible() method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_successCallback_TypeMismatch,Check whether setVisible() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_with_errorCallback,"Check with optional arguments setVisible(valid_mode, valid_successCallback, valid_errorCallback)",,1,,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3434 XWALK-3434]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_with_successCallback,"Check with optional arguments setVisible(valid_mode, valid_successCallback)",,1,,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3434 XWALK-3434]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_setVisible_with_timeout,"Check with optional arguments setVisible(valid_mode, valid_successCallback, valid_errorCallback, valid_timeout)",,1,,,[[https://crosswalk-project.org/jira/i#browse/XWALK-3434 XWALK-3434]],,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery,Check with optional arguments stopDiscovery,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_callback_onerror,Check if error callback of stopDiscovery method invoked,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_errorCallback_invalid_cb,Check stopDiscovery() argument errorCallback validation,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_errorCallback_TypeMismatch,Check whether stopDiscovery() method called with invalid errorCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_exist,Check if stopDiscovery method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_successCallback_invalid_cb,Check stopDiscovery() argument successCallback validation - use {onsuccess: function (){}},1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_successCallback_TypeMismatch,Check whether stopDiscovery() method called with invalid successCallback argument throws an exception,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_with_errorCallback,"Check with optional arguments stopDiscovery(valid_successCallback, valid_errorCallback)",1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_stopDiscovery_with_successCallback,Check with optional arguments stopDiscovery(valid_successCallback),1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_unsetChangeListener,Check unsetChangeListener of adapter,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_unsetChangeListener_exist,Check if unsetChangeListener method exists,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_unsetChangeListener_extra_argument,Check if method close of unsetChangeListener accepts extra argument,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothAdapter_visible_attribute,Check visible attribute of bluetooth,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_AUDIO_VIDEO_const,Check various identifiers of BluetoothClassDeviceMajor_AUDIO_VIDEO,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_COMPUTER_const,Check various identifiers of BluetoothClassDeviceMajor_COMPUTER,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_extend,Test whether the object can have new properties added for BluetoothClassDeviceMajor,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_HEALTH_const,Check various identifiers of BluetoothClassDeviceMajor_HEALTH,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_IMAGING_const,Check various identifiers of BluetoothClassDeviceMajor_IMAGING,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_MISC_const,Check various identifiers of BluetoothClassDeviceMajor_MISC,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_NETWORK_const,Check various identifiers of BluetoothClassDeviceMajor_NETWORK,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_notexist,Check if is possible to call BluetoothClassDeviceMajor in new expresion,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_PERIPHERAL_const,Check various identifiers of BluetoothClassDeviceMajor_PERIPHERAL,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_PHONE_const,Check various identifiers of BluetoothClassDeviceMajor_PHONE,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_TOY_const,Check various identifiers of BluetoothClassDeviceMajor_TOY,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_UNCATEGORIZED_const,Check various identifiers of BluetoothClassDeviceMajor_UNCATEGORIZED,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMajor_WEARABLE_const,Check various identifiers of BluetoothClassDeviceMajor_WEARABLE,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_CAMCORDER_const,Check various identifiers of BluetoothClassDeviceMinor_AV_CAMCORDER,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_CAR_AUDIO_const,Check various identifiers of BluetoothClassDeviceMinor_AV_CAR_AUDIO,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_DISPLAY_AND_LOUDSPEAKER_const,Check various identifiers of BluetoothClassDeviceMinor_AV_DISPLAY_AND_LOUDSPEAKER,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_GAMING_TOY_const,Check various identifiers of BluetoothClassDeviceMinor_AV_GAMING_TOY,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_HANDSFREE_const,Check various identifiers of BluetoothClassDeviceMinor_AV_HANDSFREE,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_HEADPHONES_const,Check various identifiers of BluetoothClassDeviceMinor_AV_HEADPHONES,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_HIFI_const,Check various identifiers of BluetoothClassDeviceMinor_AV_HIFI,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_LOUDSPEAKER_const,Check various identifiers of BluetoothClassDeviceMinor_AV_LOUDSPEAKER,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_MICROPHONE_const,Check various identifiers of BluetoothClassDeviceMinor_AV_MICROPHONE,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_MONITOR_const,Check various identifiers of BluetoothClassDeviceMinor_AV_MONITOR,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_PORTABLE_AUDIO_const,Check various identifiers of BluetoothClassDeviceMinor_AV_PORTABLE_AUDIO,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_SETTOP_BOX_const,Check various identifiers of BluetoothClassDeviceMinor_AV_SETTOP_BOX,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_UNRECOGNIZED_const,Check various identifiers of BluetoothClassDeviceMinor_AV_UNRECOGNIZED,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_VCR_const,Check various identifiers of BluetoothClassDeviceMinor_AV_VCR,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_VIDEO_CAMERA_const,Check various identifiers of BluetoothClassDeviceMinor_AV_VIDEO_CAMERA,1,,,,,,,,,
